,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Coupon_Status_1,-0.03400901266697973,-0.1571884548657047,0.9087440970407183,0.022749039486823514,-0.04271450430696402,0.08735710888844836,0.012968463496229541,0.013343444476159915,-0.027399302824149905,0.00596440440126869,0.00869763651265519,0.022767137082299656,-0.009218216296633577,0.019905209447946357
Coupon_Status_2,0.025676736792962437,0.14997741319644295,-0.9078976899744637,-0.017607812801817564,0.035492300944366784,-0.10507069988925735,-0.01867151229634219,-0.013118689673473643,0.031215310636900837,0.0018562314815781182,-0.013520086378149993,-0.02487720145596005,0.011067890451174775,-0.0242687355834144
Product_Category_1,-0.2063950430129684,0.31432526034738034,0.08257409227272894,0.6028531741337831,0.1383998718245993,-0.37804604073687154,0.06570228050271616,-0.019705565627870122,-0.03750736684710714,-0.36307298943787214,-0.24482927114584385,0.15843770467423676,-0.0020577140643386425,-0.09735406887137385
Product_Category_2,0.7877918053398015,-0.30255523218804975,-0.011874670406519594,-0.13878358050779893,-0.002479721563554494,-0.2718991584604864,0.06771378405727418,0.09824917150736237,-0.2195227857883433,-0.04714753519927714,0.04592982250921393,-0.0026741388038329316,-0.010863853905309754,0.09911399199883127
Product_Category_3,-0.05691470458935304,0.12222162259166397,0.019514166226752866,-0.3168659669905202,-0.014483604653727404,-0.0032814018206649962,-0.09857947115937546,-0.20464992669540036,0.33449777955422977,0.20233193733183016,-0.2011688367196594,0.4952141871920489,-0.27799534854752495,0.2953530987416075
Product_Category_4,-0.18308987584558623,0.17413846291696478,0.014699648895829445,-0.3003351879757118,-0.07079557846128223,0.15895414714725856,-0.03335614978056249,-0.017160695147439783,-0.07236248718165847,-0.36297392472133516,0.6523182261227539,-0.13958380294109535,-0.04075222245487596,-0.19283164261656732
Product_Category_5,-0.0543247253628136,-0.04480463855470291,-0.018403839027781185,0.3402518644164558,0.07248742568119651,-0.03114850952434128,-0.04088951136566038,-0.06684337391783292,0.11826843405612272,0.34779213228167677,0.33018424034986044,-0.11942576707189699,-0.5214762700498197,0.13516388377944866
Product_Category_6,-0.0,-2.2900090073442492e-27,-2.177853750678683e-24,-0.0,-5.164048047134758e-22,1.239349503112088e-19,-0.0,-0.0,-2.93784061023956e-17,-0.0,1.0019554132985699e-16,-3.522220213555156e-17,-2.798093903449831e-17,-2.77458969706411e-17
Product_Category_7,-0.21918808224345052,0.07065355693441583,0.016324502584139568,-0.21146784670465918,-0.06122762381339067,0.11070923807595766,0.05436037524439804,0.1809926582178415,-0.24135286961914806,0.3264216680012391,-0.5136407104201958,-0.5080993375469425,-0.021101556634503544,-0.06975032564919033
Product_Category_8,0.3465419317260243,0.021063827371679562,-0.023387513477024755,0.32242429030649766,-0.006125380326084038,0.5903153849197665,-0.1296161995474175,-0.15974709597034661,0.34090295436069545,0.002822560114297142,-0.14022982945134274,-0.0705195674388238,0.07434261890261684,-0.2698291259197065
Product_Category_9,-0.0,-6.988552878858182e-32,0.0,-0.0,1.2607539177575094e-25,0.0,-0.0,1.8498477306477958e-18,-9.180751906998625e-19,-0.0,0.0,-0.0,0.0,0.0
Product_Category_10,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Product_Category_11,-0.011352113130645897,0.14420880934628852,0.030295555163524893,0.2639738422605632,0.05053530012520678,-0.10049133476142814,-0.07837257533586701,0.08584901578518073,0.04022583812247399,0.5142638750634163,0.337986318237435,-0.1601410572368808,0.44449849177772505,0.21336268913876918
Product_Category_12,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Product_Category_13,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Product_Category_14,-0.10099136784054628,-0.057634422349653276,-0.02517710369726913,-0.05939549131332468,0.006315777029881552,0.08970083751395908,0.023269989570145096,0.04226783791998027,0.05076210559176542,-0.004097452541445756,0.01065174898198621,0.3471685733301608,0.6082232391879895,0.23422996776339894
Product_Category_15,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Product_Category_16,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Product_Category_17,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Product_Category_18,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Product_Category_19,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
cluster3,-0.46876774585276454,0.39353270544069413,-0.04598034248397424,0.1615460216706432,-0.005959098698408321,0.5182108599330331,0.08547621126448263,0.11134320852114302,-0.17091228466669395,0.011838313539674036,0.02241420566132355,0.14081110436073555,-0.07467537222743334,0.14368748355714273
cluster4,0.8259278969390673,0.2006254935217086,-0.0210852961868583,-0.00490949223441953,-0.011413697740667824,0.2329421321265071,0.03554290222262662,0.04801470928162155,-0.0754722653517064,0.008944017094274913,-0.00030901140477818757,0.06057843381218524,-0.026927544785297828,0.04260975802431124
cluster5,0.17325908117936983,-0.49187568759728406,-0.09765350429680161,0.18438248720718153,0.025834400441364456,0.07529655135695962,0.11017452307896175,0.19225849896503971,-0.3896313658750079,-0.13688849408154394,-0.024665236012009168,0.05646030797836977,-0.027435381567145874,0.19408397116415124
cluster6,0.8908243216031801,0.11559285580961305,-0.00266159254285637,-0.0540327089052577,-0.013689832287134523,0.11491909868085214,0.020353356309425353,0.021943083005005685,-0.047453178971453035,-0.011704582484129127,-0.013712671562582457,0.023970047879402788,-0.013102988775166621,0.027165489034187442
cluster7,0.8107650669768671,0.10778310220874963,0.0825735112573134,-0.2193620693816309,-0.015691536358700044,-0.30481999278532074,-0.024845604427022428,-0.056806875866210506,0.07794777467179446,0.005844728800927467,-0.005970215366876287,-0.052616466204969924,0.01605299982468645,-0.0232892435657909
cluster8,0.7964395711204529,0.1790270299326511,0.10254116246282216,-0.2082771489962952,-0.026648347965989697,-0.1767936659570668,-0.059427416439013774,-0.10352776620993878,0.1899573653133451,0.03383754775698945,-0.013046329192805404,-0.06414554524584432,0.029076324818307145,-0.10804046937762582
